disease_id,location_id,eventdate,reportdate,count,eventtype2,agemin,agemax,gender,socialstruct,synthetic,source
5,47,NA,1952-07-26,844,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-08-02,944,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-08-09,926,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-08-16,751,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-08-23,573,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-08-30,412,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-09-06,280,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-09-13,240,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-09-20,272,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-09-27,354,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-10-04,554,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-10-11,682,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-10-18,964,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-10-25,1094,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-11-01,1252,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-11-08,989,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-11-15,1208,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-11-22,1129,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-11-29,1560,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-12-06,1488,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-12-13,1404,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-12-20,1797,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1952-12-27,996,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-01-03,2705,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-01-10,1905,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-01-17,1777,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-01-24,1421,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-01-31,1470,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-02-07,1661,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-02-14,1507,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-02-21,1832,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-02-28,1624,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-03-07,1621,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-03-14,1371,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-03-21,1439,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-03-28,1133,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-04-04,953,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-04-11,1032,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-04-18,835,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-04-25,629,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-05-02,419,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-05-09,369,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-05-16,305,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-05-23,345,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-05-30,269,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-06-06,297,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-06-13,207,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-06-20,291,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-06-27,173,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-07-04,145,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-07-11,110,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-07-18,107,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-07-25,65,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-08-01,80,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-08-08,50,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-08-15,67,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-08-22,29,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-08-29,20,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-09-05,27,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-09-12,19,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-09-19,16,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-09-26,13,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-10-03,9,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-10-10,13,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-10-17,25,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-10-24,19,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-10-31,12,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-11-07,31,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-11-14,24,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-11-21,15,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-11-28,20,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-12-05,12,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-12-12,17,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-12-19,12,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1953-12-26,1,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1954-01-02,58,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1954-01-09,13,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1954-01-16,18,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1954-01-23,12,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1954-01-30,11,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1954-02-06,19,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1954-02-13,16,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1954-02-20,29,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1954-02-27,33,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1954-03-06,33,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1954-03-13,41,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1954-03-20,57,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1954-03-27,32,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1954-04-03,45,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1954-04-10,67,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1954-04-17,67,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1954-04-24,93,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1954-05-01,72,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1954-05-08,71,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1954-05-15,58,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1954-05-22,61,NA,NA,NA,NA,NA,0,Bolker webpage
5,47,NA,1954-05-29,42,NA,NA,NA,NA,NA,0,Bolker webpage
