WHO report date,var,val
2014-09-08,incidence Deaths-- Guinea,38
2014-09-12,incidence Deaths-- Guinea,2
2014-09-16,incidence Deaths-- Guinea,38
2014-09-18,incidence Deaths-- Guinea,6
2014-09-22,incidence Deaths-- Guinea,31
2014-09-24,incidence Deaths-- Guinea,3
2014-09-26,incidence Deaths-- Guinea,13
2014-10-01,incidence Deaths-- Guinea,62
2014-10-03,incidence Deaths-- Guinea,29
2014-10-08,incidence Deaths-- Guinea,29
2014-10-10,incidence Deaths-- Guinea,10
2014-10-15,incidence Deaths-- Guinea,65
2014-10-17,incidence Deaths-- Guinea,19
2014-10-22,incidence Deaths-- Guinea,42
2014-10-25,incidence Deaths-- Guinea,22
2014-10-29,incidence Deaths-- Guinea,71
2014-10-31,incidence Deaths-- Guinea,21
2014-11-05,incidence Deaths-- Guinea,23
2014-11-07,incidence Deaths-- Guinea,13
2014-11-12,incidence Deaths-- Guinea,88
2014-11-14,incidence Deaths-- Guinea,24
2014-11-19,incidence Deaths-- Guinea,26
2014-11-21,incidence Deaths-- Guinea,22
2014-11-26,incidence Deaths-- Guinea,46
2014-11-28,incidence Deaths-- Guinea,52
2014-12-03,incidence Deaths-- Guinea,15
2014-12-10,incidence Deaths-- Guinea,101
2014-12-17,incidence Deaths-- Guinea,97
2014-12-24,incidence Deaths-- Guinea,82
2014-12-31,incidence Deaths-- Guinea,101
2015-01-07,incidence Deaths-- Guinea,73
2015-01-14,incidence Deaths-- Guinea,33
2015-01-21,incidence Deaths-- Guinea,62
2015-01-28,incidence Deaths-- Guinea,34
2015-02-04,incidence Deaths-- Guinea,34
2015-02-11,incidence Deaths-- Guinea,51
2015-02-18,incidence Deaths-- Guinea,62
2015-02-25,incidence Deaths-- Guinea,34
2015-03-04,incidence Deaths-- Guinea,38
2015-03-11,incidence Deaths-- Guinea,41
2015-03-18,incidence Deaths-- Guinea,54
2015-03-25,incidence Deaths-- Guinea,39
2015-04-01,incidence Deaths-- Guinea,51
2015-04-08,incidence Deaths-- Guinea,19
2015-04-15,incidence Deaths-- Guinea,13
2015-04-22,incidence Deaths-- Guinea,12
2015-04-29,incidence Deaths-- Guinea,19
2015-05-06,incidence Deaths-- Guinea,9
2015-05-13,incidence Deaths-- Guinea,6
2015-05-20,incidence Deaths-- Guinea,15
2015-05-27,incidence Deaths-- Guinea,13
2015-06-03,incidence Deaths-- Guinea,9
2015-06-10,incidence Deaths-- Guinea,8
2015-06-17,incidence Deaths-- Guinea,7
2015-06-24,incidence Deaths-- Guinea,29
2015-07-01,incidence Deaths-- Guinea,9
2015-07-08,incidence Deaths-- Guinea,17
2015-07-15,incidence Deaths-- Guinea,7
2015-07-22,incidence Deaths-- Guinea,6
2015-07-29,incidence Deaths-- Guinea,8
2015-08-05,incidence Deaths-- Guinea,2
2015-08-12,incidence Deaths-- Guinea,2
2015-08-19,incidence Deaths-- Guinea,0
2015-08-26,incidence Deaths-- Guinea,3
2015-09-03,incidence Deaths-- Guinea,2
