"","date","city","count"
"766",1962-09-08,"London",83
"767",1962-09-15,"London",71
"768",1962-09-22,"London",57
"769",1962-09-29,"London",113
"770",1962-10-06,"London",166
"771",1962-10-13,"London",194
"772",1962-10-20,"London",186
"773",1962-10-27,"London",271
"774",1962-11-03,"London",317
"775",1962-11-10,"London",425
"776",1962-11-17,"London",345
"777",1962-11-24,"London",467
"778",1962-12-01,"London",558
"779",1962-12-08,"London",692
"780",1962-12-15,"London",868
"781",1962-12-22,"London",848
"782",1962-12-29,"London",633
"783",1963-01-05,"London",1370
"784",1963-01-12,"London",1103
"785",1963-01-19,"London",820
"786",1963-01-26,"London",877
"787",1963-02-02,"London",901
"788",1963-02-09,"London",1190
"789",1963-02-16,"London",1050
"790",1963-02-23,"London",1250
"791",1963-03-02,"London",1121
"792",1963-03-09,"London",1052
"793",1963-03-16,"London",983
"794",1963-03-23,"London",1016
"795",1963-03-30,"London",1199
"796",1963-04-06,"London",1287
"797",1963-04-13,"London",1175
"798",1963-04-20,"London",1450
"799",1963-04-27,"London",1332
"800",1963-05-04,"London",1102
"801",1963-05-11,"London",756
"802",1963-05-18,"London",713
"803",1963-05-25,"London",622
"804",1963-06-01,"London",775
"805",1963-06-08,"London",663
"806",1963-06-15,"London",862
"807",1963-06-22,"London",588
"808",1963-06-29,"London",571
"809",1963-07-06,"London",477
"810",1963-07-13,"London",471
"811",1963-07-20,"London",457
"812",1963-07-27,"London",503
"813",1963-08-03,"London",338
"814",1963-08-10,"London",231
"815",1963-08-17,"London",183
"816",1963-08-24,"London",175
"817",1963-08-31,"London",77
"818",1963-09-07,"London",74
"819",1963-09-14,"London",43
"820",1963-09-21,"London",45
"821",1963-09-28,"London",48
"822",1963-10-05,"London",37
"823",1963-10-12,"London",38
"824",1963-10-19,"London",27
"825",1963-10-26,"London",43
"826",1963-11-02,"London",38
"827",1963-11-09,"London",56
"828",1963-11-16,"London",48
"829",1963-11-23,"London",36
"830",1963-11-30,"London",54
"831",1963-12-07,"London",49
"832",1963-12-14,"London",29
"833",1963-12-21,"London",39
"834",1963-12-28,"London",16
"835",1964-01-04,"London",39
"836",1964-01-11,"London",37
"837",1964-01-18,"London",38
"838",1964-01-25,"London",39
"839",1964-02-01,"London",56
"840",1964-02-08,"London",79
"841",1964-02-15,"London",70
"842",1964-02-22,"London",65
"843",1964-02-29,"London",74
"844",1964-03-07,"London",86
"845",1964-03-14,"London",105
"846",1964-03-21,"London",143
"847",1964-03-28,"London",148
"848",1964-04-04,"London",143
"849",1964-04-11,"London",121
"850",1964-04-18,"London",125
"851",1964-04-25,"London",100
"852",1964-05-02,"London",110
"853",1964-05-09,"London",147
"854",1964-05-16,"London",179
"855",1964-05-23,"London",175
"856",1964-05-30,"London",239
"857",1964-06-06,"London",229
"858",1964-06-13,"London",256
"859",1964-06-20,"London",235
"860",1964-06-27,"London",330
"861",1964-07-04,"London",327
"862",1964-07-11,"London",375
"863",1964-07-18,"London",318
"864",1964-07-25,"London",423
"865",1964-08-01,"London",512
"866",1964-08-08,"London",408
"867",1964-08-15,"London",347
"868",1964-08-22,"London",260
"869",1964-08-29,"London",187
"870",1964-09-05,"London",180
"871",1964-09-12,"London",149
"872",1964-09-19,"London",160
"873",1964-09-26,"London",132
"874",1964-10-03,"London",132
"875",1964-10-10,"London",194
"876",1964-10-17,"London",238
"877",1964-10-24,"London",247
"878",1964-10-31,"London",299
"879",1964-11-07,"London",316
"880",1964-11-14,"London",469
"881",1964-11-21,"London",539
"882",1964-11-28,"London",563
"883",1964-12-05,"London",679
"884",1964-12-12,"London",695
"885",1964-12-19,"London",810
"886",1964-12-26,"London",666
"887",1965-01-02,"London",1157
"888",1965-01-09,"London",1172
"889",1965-01-16,"London",1042
"890",1965-01-23,"London",959
"891",1965-01-30,"London",1071
"892",1965-02-06,"London",1375
"893",1965-02-13,"London",1819
"894",1965-02-20,"London",1745
"895",1965-02-27,"London",1848
"896",1965-03-06,"London",1900
"897",1965-03-13,"London",1444
"898",1965-03-20,"London",1540
"899",1965-03-27,"London",1089
"900",1965-04-03,"London",3946
"901",1965-04-10,"London",3152
"902",1965-04-17,"London",2358
"903",1965-04-24,"London",2431
"904",1965-05-01,"London",2337
"905",1965-05-08,"London",1708
"906",1965-05-15,"London",1382
"907",1965-05-22,"London",1101
"908",1965-05-29,"London",991
"909",1965-06-05,"London",959
"910",1965-06-12,"London",773
"911",1965-06-19,"London",855
"912",1965-06-26,"London",710
"913",1965-07-03,"London",629
"914",1965-07-10,"London",529
"915",1965-07-17,"London",494
"916",1965-07-24,"London",417
"917",1965-07-31,"London",398
"918",1965-08-07,"London",424
"919",1965-08-14,"London",288
